symbol,organ_name,en_organ_name,exchange,type,id
VGC,Tổng Công ty Viglacera - CTCP,Viglacera Corporation - JSC,HOSE,stock,1
VCS,CTCP Vicostone,Vicostone Joint Stock Company,HNX,stock,1
HT1,CTCP Xi Măng Vicem Hà Tiên,Vicem Ha Tien Cement Joint Stock Company,HOSE,stock,1
SKV,CTCP Nước giải khát Yến sào Khánh Hòa,Khanh Hoa Salanganes Nest Soft Drink Joint Stock Company,UPCOM,stock,1
HAD,CTCP Bia Hà Nội - Hải Dương,Ha Noi - Hai Duong Beer Joint Stock Company,HNX,stock,1
SSG,CTCP Vận tải biển Hải Âu,Seagull Shipping Company,UPCOM,stock,1
TVT,Tổng Công ty Việt Thắng - CTCP,Viet Thang Corporation,HOSE,stock,1
VRG,CTCP Phát triển Đô thị và Khu công nghiệp Cao su Việt Nam,Viet Nam Rubber Industrial Zone and Urban Development Joint Stock Company,UPCOM,stock,1
DGW,CTCP Thế Giới Số,Digiworld Corp.,HOSE,stock,1
VNI,CTCP Đầu tư Bất động sản Việt Nam,Vietnam Land Investment Corporation,UPCOM,stock,1
L12,CTCP Licogi 12,Licogi 12 Joint Stock Company,UPCOM,stock,1
NDC,CTCP Nam Dược,Nam Duoc Joint Stock Company,UPCOM,stock,1
GND,CTCP Gạch ngói Đồng Nai,Dong Nai Brick and Tile Corporation,UPCOM,stock,1
UDJ,CTCP Phát triển Đô thị,Becamex Urban Development Joint Stock Company,UPCOM,stock,1
HMS,CTCP Xây dựng Bảo tàng Hồ Chí Minh,HoChiMinh Museum Construction JSC,UPCOM,stock,1
IVS,CTCP Chứng khoán Guotai Junan (Việt Nam),Guotai Junan Securities (Vietnam) Corp.,HNX,stock,1
HHS,CTCP Đầu tư Dịch vụ Hoàng Huy,Hoang Huy Investment Services Joint Stock Company,HOSE,stock,1
ATS,CTCP Tập đoàn Đầu tư ATS,ATS Investment Group Joint Stock Company,HNX,stock,1
BTG,CTCP Bao bì Tiền Giang,Tien Giang Packaging Joint Stock Company,UPCOM,stock,1
PIV,CTCP PIV,PIV Joint Stock Company,UPCOM,stock,1
RGG,CTCP Regal Group,Regal Group Joint Stock Company,UPCOM,stock,1
PDB,CTCP Tập đoàn Đầu tư Din Capital,Din Capital Investment Group Joint Stock Company,HNX,stock,1
VTO,CTCP Vận tải Xăng dầu Vitaco,Vietnam Tanker Joint Stock Company,HOSE,stock,1
CBI,CTCP Gang thép Cao Bằng,Cao Bang Cast Iron and Steel Joint Stock Company ,UPCOM,stock,1
STL,CTCP Sông Đà Thăng Long,Song Da - Thang Long Join Stock Company,UPCOM,stock,1
VKP,CTCP Nhựa Tân Hóa,Viky Plastic Joint Stock Company,UPCOM,stock,1
XMD,CTCP Xuân Mai - Đạo Tú,Xuan Mai - Dao Tu Joint Stock Company,UPCOM,stock,1
IMP,CTCP Dược phẩm Imexpharm,Imexpharm Corporation,HOSE,stock,1
VTK,CTCP Tư Vấn Và Dịch Vụ Viettel,Viettel Consultancy And Services Joint Stock Company,UPCOM,stock,1
PTD,CTCP Thiết kế Xây dựng Thương mại Phúc Thịnh,Phuc Thinh Design Construction Trading Corporation,HNX,stock,1
HUG,Tổng Công ty May Hưng Yên - CTCP,Hung Yen Garment Corporation - Joint Stock Company,UPCOM,stock,1
BHC,CTCP Bê tông Biên Hòa,Bienhoa Concrete Joint Stock Company,UPCOM,stock,1
HBH,CTCP Habeco - Hải Phòng,Habeco - Hai Phong Joint Stock Company,UPCOM,stock,1
NTP,CTCP Nhựa Thiếu niên Tiền Phong,Tien Phong Plastic Joint Stock Company ,HNX,stock,1
SDP,CTCP SDP,SDP Joint Stock Company,UPCOM,stock,1
SBR,CTCP Cao su Sông Bé,Song Be Rubber Joint Stock Company,UPCOM,stock,1
S99,CTCP SCI,SCI Joint Stock Company,HNX,stock,1
FPT,CTCP FPT,FPT Corporation,HOSE,stock,1
SGH,CTCP Khách sạn Sài Gòn,Sai Gon Hotel Corporation ,HNX,stock,1
BED,CTCP Sách và Thiết bị Trường học Đà Nẵng,Danang Books and School Equipment Joint Stock Company,HNX,stock,1
CMI,CTCP CMISTONE Việt Nam,CMISTONE Viet Nam Joint Stock Company,UPCOM,stock,1
STK,CTCP Sợi Thế Kỷ,Century Synthetic Fiber Corporation,HOSE,stock,1
TCD,CTCP Tập đoàn Xây dựng TRACODI,TRACODI Construction Holdings Joint Stock Company,HOSE,stock,1
LCC,CTCP Xi măng Hồng Phong,Hong Phong Cement Joint Stock Company,UPCOM,stock,1
HJC,CTCP Hòa Việt,Hoa Viet Joint Stock Company,UPCOM,stock,1
BCM,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,Becamex Investment And Industrial Development Group,HOSE,stock,1
TTD,CTCP Bệnh viện tim Tâm Đức,Tam Duc Cardiology Hospital Joint Stock Company,UPCOM,stock,1
VCM,CTCP BV Life,BV Life Joint Stock Company,HNX,stock,1
BLT,CTCP Lương thực Bình Định,Binh Dinh Food Joint Stock Company,UPCOM,stock,1
SNC,CTCP Xuất nhập khẩu Thủy sản Năm Căn,Nam Can Seaproducts Import Export Joint Stock Company,UPCOM,stock,1
KPF,CTCP Đầu tư tài sản Koji,Koji Asset Investment Joint Stock Company,UPCOM,stock,1
VLC,Tổng Công ty Chăn Nuôi Việt Nam - CTCP,Vietnam Livestock Corporation - Joint Stock Company,UPCOM,stock,1
IPA,CTCP Tập đoàn Đầu tư I.P.A,I.P.A Investments Group Joint Stock Company,HNX,stock,1
CTW,CTCP Cấp thoát nước Cần Thơ,Can Tho Water Supply - Sewerage Joint Stock Company,UPCOM,stock,1
TNH,CTCP Tập đoàn Bệnh viện TNH,TNH Hospital Group Joint Stock Company,HOSE,stock,1
TNP,CTCP Cảng Thị Nại,Thi Nai Port Joint Stock Company,UPCOM,stock,1
PHS,CTCP Chứng khoán Phú Hưng,Phu Hung Securities Corporation,UPCOM,stock,1
DC1,CTCP Đầu tư Phát triển Xây dựng Số 1,Development Investment Construction Number 1 Joint Stock Company,UPCOM,stock,1
SAS,CTCP Dịch vụ Hàng không Sân bay Tân Sơn Nhất,Southern Airports Services Joint Stock Company,UPCOM,stock,1
HEJ,Tổng Công ty Tư vấn Xây dựng Thủy lợi Việt Nam - CTCP,VietNam Hydraulic Engineering Consultants Corporation - JSC,UPCOM,stock,1
ST8,CTCP Tập đoàn ST8,ST8 Holdings Joint Stock Company,HOSE,stock,1
CCV,CTCP Tư vấn Xây dựng Công nghiệp và Đô thị Việt Nam,VCC Engineering Consultants Joint - Stock Company,UPCOM,stock,1
VSI,CTCP Đầu tư và Xây dựng Cấp thoát nước,Water Supply Sewerage Construction and Investment Joint Stock Company,HOSE,stock,1
NSG,CTCP Nhựa Sài Gòn,Saigon Plastic Joint Stock Company,UPCOM,stock,1
CTD,CTCP Xây dựng Coteccons,Coteccons Construction Joint Stock Company,HOSE,stock,1
DVG,CTCP Đại Việt Group DVG,Dai Viet DVG Group Joint Stock Company,UPCOM,stock,1
HPH,CTCP Hóa Chất Hưng Phát Hà Bắc,Ha Bac Hung Phat Chemical Joint Stock Company,UPCOM,stock,1
BNA,CTCP Tập đoàn Đầu tư Bảo Ngọc,Bao Ngoc Investment Group Joint Stock Company,HNX,stock,1
BSQ,CTCP Bia Sài Gòn - Quảng Ngãi,Sai Gon - Quang Ngai Beer JSC,UPCOM,stock,1
CRV,CTCP Tập đoàn Bất động sản CRV,CRV Real Estate Group Joint Stock Company,HOSE,stock,1
PVO,CTCP Dầu nhờn PV Oil,PV Oil Lube Joint Stock Company,UPCOM,stock,1
VNF,CTCP Vinafreight,Vinafreight Joint Stock Company,HNX,stock,1
LQN,CTCP Licogi Quảng Ngãi,Licogi Quang Ngai Joint Stock Company,UPCOM,stock,1
BCF,CTCP Thực phẩm Bích Chi,Bich Chi Food Company,HNX,stock,1
APL,CTCP Cơ khí và Thiết bị áp lực - VVMI,VVMI - Mechanical and Pressure Equipment Joint Stock Company,UPCOM,stock,1
HEC,CTCP Tư vấn Xây dựng Thủy Lợi II,Hydraulic Engineering Consultant Corporation II,UPCOM,stock,1
EBS,CTCP Sách Giáo dục tại Thành phố Hà Nội,Educational Book Joint Stock Company in Hanoi City,HNX,stock,1
IHK,CTCP In Hàng Không,Aviation Printing Joint Stock Company,UPCOM,stock,1
BTH,CTCP Chế tạo Biến thế và Vật liệu Điện Hà Nội,Ha Noi Transformer Manufacturing And Electric Material Joint Stock Company,UPCOM,stock,1
THT,CTCP Than Hà Tu - Vinacomin,Vinacomin - Ha Tu Coal Joint Stock Company,HNX,stock,1
ADS,CTCP Damsan,Damsan Joint Stock Company,HOSE,stock,1
PDC,CTCP Du lịch Dầu khí Phương Đông,Phuong Dong Petroleum Tourism Joint Stock Company,UPCOM,stock,1
TNS,CTCP Thép tấm lá Thống Nhất,Thong Nhat Flat Steel Joint Stock Company,UPCOM,stock,1
VSE,CTCP Dịch vụ Đường cao tốc Việt Nam,Vietnam Expressway Services Joint Stock Company,UPCOM,stock,1
LM8,CTCP Lilama 18,Lilama 18 Joint Stock Company,HOSE,stock,1
GTA,CTCP Chế biến gỗ Thuận An,Thuan An Wood Processing Joint Stock Company,HOSE,stock,1
SHE,CTCP Phát triển Năng lượng Sơn Hà,Son Ha Development of Renewable Energy Joint Stock Company,HNX,stock,1
VIH,CTCP Viglacera Hà Nội,Viglacera Ha Noi Joint Stock Company,UPCOM,stock,1
VHE,CTCP Dược liệu và Thực phẩm Việt Nam,Vietnam Herbs and Foods Joint Stock Company,HNX,stock,1
GEX,CTCP Tập đoàn GELEX,GELEX Group Joint Stock Company,HOSE,stock,1
SGD,CTCP Sách Giáo dục tại Thành phố Hồ Chí Minh,Educational Book Joint Stock Company in Ho Chi Minh City,HNX,stock,1
HPX,CTCP Đầu tư Hải Phát,Hai Phat Investment Joint Stock Company,HOSE,stock,1
PTB,CTCP Phú Tài,Phu Tai Joint Stock Company,HOSE,stock,1
STH,CTCP Phát hành Sách Thái Nguyên,Thai Nguyen Book Distribution Joint Stock Company,UPCOM,stock,1
PSE,CTCP Phân Bón và Hóa Chất Dầu khí Đông Nam Bộ,South-East PetroVietnam Fertilizer and Chemicals Joint Stock Company,HNX,stock,1
QNS,CTCP Đường Quảng Ngãi,Quang Ngai Sugar Joint Stock Company,UPCOM,stock,1
DC2,CTCP Đầu tư Phát triển - Xây dựng (DIC) số 2,Development Investment Construction Number 2 Joint Stock Company,HNX,stock,1
SVT,CTCP Công nghệ Sài Gòn Viễn Đông,Sai Gon Vien Dong Technology Joint Stock Company,HOSE,stock,1
SGS,CTCP Vận tải biển Sài Gòn,Saigon Shipping Joint Stock Company,UPCOM,stock,1
NT2,CTCP Điện lực Dầu khí Nhơn Trạch 2,PetroVietnam Power Nhon Trach 2 Joint Stock Company,HOSE,stock,1
UCT,CTCP Đô thị Cần Thơ,Can Tho Urban Joint Stock Company,UPCOM,stock,1
HBS,CTCP Chứng khoán Hòa Bình,Hoa Binh Securities Joint Stock Company,HNX,stock,1
CI5,CTCP Đầu Tư Xây dựng Số 5,No.5 Construction Investment Joint Stock Company,UPCOM,stock,1
KTS,CTCP Đường Kon Tum,Kon Tum Sugar Joint Stock Company,HNX,stock,1
H11,CTCP Xây dựng HUD101,HUD101 Construction Joint Stock Company,UPCOM,stock,1
VIE,CTCP Công nghệ Viễn thông VITECO,VITECO Vietnam Telecommunications Technology Joint Stock Company,UPCOM,stock,1
VSC,CTCP Container Việt Nam,Vietnam Container Shipping Joint Stock Corporation,HOSE,stock,1
VST,CTCP Vận tải và Thuê tàu biển Việt Nam,Vietnam Sea Transport and Chartering Joint Stock Company,UPCOM,stock,1
DTE,CTCP Đầu tư Năng lượng Đại Trường Thành Holdings,Dai Truong Thanh Holdings Energy Investment Joint Stock Company,UPCOM,stock,1
ATA,CTCP Ntaco,Ntaco Corporation,UPCOM,stock,1
SB1,CTCP Bia Sài Gòn - Nghệ Tĩnh,SaiGon - NgheTinh Beer Joint Stock Company,UPCOM,stock,1
THU,CTCP Môi trường và Công trình Đô thị Thanh Hóa,Thanh Hoa Urban Construction and Environment Joint Stock Company,UPCOM,stock,1
VPA,CTCP Vận tải Hoá Dầu VP,VP Petrochemical Transport Joint Stock Company,UPCOM,stock,1
HDP,CTCP Dược Hà Tĩnh,Ha Tinh Pharmaceutical JSC,UPCOM,stock,1
PAP,CTCP Dầu khí Đầu tư Khai thác Cảng Phước An,Petro Vietnam Phuoc An Port Investment  & Operation Joint Stock Company,UPCOM,stock,1
TTT,CTCP Du lịch - Thương mại Tây Ninh,Tay Ninh Tourist - Trading Joint Stock Company,HNX,stock,1
SVD,CTCP Đầu tư & Thương mại Vũ Đăng,Vu Dang Investment & Trading Joint Stock Company,HOSE,stock,1
PTI,Tổng Công ty cổ phần Bảo hiểm Bưu điện,Post - Telecommunication Joint - Stock Insurance Corporation,HNX,stock,1
TB8,CTCP Sản xuất và Kinh doanh Vật tư Thiết bị - VVMI,VVMI - Manufacturing and Materials Equipment Trading Joint Stock Company,UPCOM,stock,1
VC5,CTCP Xây dựng Số 5,Construction Joint Stock Company No 5,UPCOM,stock,1
BSH,CTCP Bia Sài Gòn - Hà Nội,Saigon - Hanoi Beer Coporation,UPCOM,stock,1
PCC,CTCP Tập đoàn Xây lắp 1 - Petrolimex,Petrolimex Construction 1 Joint Stock Company Group,UPCOM,stock,1
VNX,CTCP Quảng cáo và Hội chợ Thương mại,Vinexad National Trade Fair and Advertising Joint Stock Company,UPCOM,stock,1
HPA,CTCP Phát triển Nông nghiệp Hòa Phát,Hoa Phat Agriculture Development Joint Stock Company,HOSE,stock,1
SCL,CTCP Sông Đà Cao Cường,Song Da Cao Cuong Joint Stock Company,UPCOM,stock,1
VFR,CTCP Vận tải và Thuê tàu,Transport And Chartering Corporation,UPCOM,stock,1
VHL,CTCP Viglacera Hạ Long,Viglacera Ha Long Joint Stock Company,HNX,stock,1
AGF,CTCP Xuất nhập khẩu Thủy sản An Giang,Angiang Fisheries Import  Export JSC,UPCOM,stock,1
HIO,CTCP Helio Energy,Helio Energy Joint Stock Company,UPCOM,stock,1
STP,CTCP Công nghiệp Thương mại Sông Đà,Song Da Industry Trade Joint Stock Company,HNX,stock,1
HTN,CTCP Hưng Thịnh Incons,Hung Thinh Incons Joint Stock Company,HOSE,stock,1
BQB,CTCP Bia Hà Nội - Quảng Bình,Ha Noi - Quang Binh Beer JSC,UPCOM,stock,1
NWT,CTCP Vận tải Newway,Newway Transport Joint Stock Company,UPCOM,stock,1
TVH,CTCP Tư vấn Xây dựng công trình Hàng hải,Construction Consultation Joint Stock Company for Maritime Building,UPCOM,stock,1
BTB,CTCP Bia Hà Nội - Thái Bình,Ha Noi - Thai Binh Beer Joint Stock Company,UPCOM,stock,1
VNP,CTCP Nhựa Việt Nam,Vietnam Plastic Corporation,UPCOM,stock,1
CNT,CTCP Tập đoàn CNT,CNT Group Corporation,UPCOM,stock,1
VTS,CTCP Gạch ngói Từ Sơn,Tu Son Brick Tile Joint Stock Company,UPCOM,stock,1
CII,CTCP Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,Ho Chi Minh City Infrastructure Investment Joint Stock Company,HOSE,stock,1
SED,CTCP Đầu tư và Phát triển Giáo dục Phương Nam,Phuong Nam Education Investment and Development Joint Stock Company,HNX,stock,1
HFX,CTCP Sản xuất - Xuất nhập khẩu Thanh Hà,Thanh Ha Production and Import - Export Joint Stock Company,UPCOM,stock,1
HSP,CTCP Sơn Tổng hợp Hà Nội,Hanoi Synthetic Paint Joint Stock Company,UPCOM,stock,1
BTP,CTCP Nhiệt điện Bà Rịa,BaRia Thermal Power Joint Stock Company,HOSE,stock,1
PLO,CTCP Kho Vận Petec,Petec Logistics Joint Stock Company ,UPCOM,stock,1
DAC,CTCP 382 Đông Anh,382 Dong Anh Joint Stock Company,UPCOM,stock,1
CTF,CTCP City Auto,City Auto Corporation,HOSE,stock,1
LSG,CTCP Bất động sản Sài Gòn Vina,Saigon Vina Land Joint Stock Company,UPCOM,stock,1
DAT,CTCP Đầu tư du lịch và Phát triển Thủy sản,Travel Investment and Seafood Development Corporation,HOSE,stock,1
VMK,CTCP Vimarko,Vimarko Joint Stock Company,UPCOM,stock,1
CRE,CTCP Bất động sản Thế Kỷ,Century Land Joint Stock Company,HOSE,stock,1
BHH,CTCP Bia Hà Nội - Hưng Yên 89,Ha Noi - Hung Yen Beer Joint Stock Company 89,UPCOM,stock,1
NTL,CTCP Phát triển Đô thị Từ Liêm,Tu Liem Urban Development Joint-Stock Company,HOSE,stock,1
VLG,CTCP VIMC Logistics,VIMC Logistics Joint Stock Company,UPCOM,stock,1
HTE,CTCP Đầu tư Kinh doanh Điện lực Thành phố Hồ Chí Minh,Ho Chi Minh City Electric Power Trading Investment Corporation,UPCOM,stock,1
MZG,CTCP Miza,Miza Corporation,UPCOM,stock,1
TAR,CTCP Nông nghiệp Công nghệ cao Trung An,Trung An Hi-Tech Farming Joint Stock Company,UPCOM,stock,1
SLD,CTCP Địa ốc Sacom,Sacom Land Corporation,UPCOM,stock,1
DSC,CTCP Chứng khoán DSC,DSC Securities Corporation,HOSE,stock,1
DP1,CTCP Dược phẩm Trung ương CPC1,Central Pharmaceutical CPC1. JSC,UPCOM,stock,1
PLP,CTCP Sản xuất và Công nghệ Nhựa Pha Lê,Pha Le Plastics Manufacturing and Technology Joint Stock Company,HOSE,stock,1
SPI,CTCP Spiral Galaxy,Spiral Galaxy Joint Stock Company,UPCOM,stock,1
TCX,CTCP Chứng khoán Kỹ Thương,Techcom Securities Joint Stock Company,HOSE,stock,1
BDW,CTCP Cấp thoát nước Bình Định,Binh Dinh Water Supply and Sewerage Joint Stock Company,UPCOM,stock,1
VPI,CTCP Phát triển Bất động sản Văn Phú,Van Phu Real Estate Development Joint Stock Company,HOSE,stock,1
GMH,CTCP Minh Hưng Quảng Trị,Quang Tri Minh Hung Joint Stock Company,HOSE,stock,1
C12,CTCP Cầu 12,Bridge Joint Stock Company No.12 ,UPCOM,stock,1
L10,CTCP Lilama 10,Lilama 10 Joint Stock Company,HOSE,stock,1
BGW,CTCP Nước sạch Bắc Giang,Bac Giang Clean Water Joint Stock Company,UPCOM,stock,1
ASA,CTCP ASA,ASA Joint Stock Company,UPCOM,stock,1
VRC,CTCP Bất động sản và Đầu tư VRC,VRC Real Estate and Investment Joint Stock Company,HOSE,stock,1
TIS,CTCP Gang thép Thái Nguyên,Thai Nguyen Iron and Steel Joint Stock Corporation,UPCOM,stock,1
EIC,CTCP EVN Quốc tế,EVN International Joint Stock Company,UPCOM,stock,1
SFG,CTCP Phân Bón Miền Nam,The Southern Fertilizer Joint Stock Company,HOSE,stock,1
KLB,Ngân hàng TMCP Kiên Long,Kien Long Commercial Joint Stock Bank,HOSE,stock,1
C21,CTCP Thế Kỷ 21 ,Century 21 Joint Stock Company,UPCOM,stock,1
VRE,CTCP Vincom Retail,Vincom Retail Joint Stock Company,HOSE,stock,1
HNI,CTCP May Hữu Nghị,Huu Nghi Garment Joint Stock Company,UPCOM,stock,1
PSC,CTCP Vận tải và Dịch vụ Petrolimex Sài Gòn,Petrolimex Saigon Transportation and Service Joint Stock Company,HNX,stock,1
CGV,CTCP Vinaceglass,Vinaceglass Joint Stock Company,UPCOM,stock,1
CSI,CTCP Chứng khoán Kiến thiết Việt Nam,Vietnam Construction Securities Joint Stock Company,UPCOM,stock,1
VCC,CTCP Vinaconex 25,Vinaconex 25 Joint Stock Company,HNX,stock,1
SD3,CTCP Sông Đà 3,Song Da 3 Joint Stock Company,UPCOM,stock,1
HTG,Tổng Công ty cổ phần Dệt may Hòa Thọ,Hoa Tho Textile - Garment Joint Stock Corporation,HOSE,stock,1
MGR,CTCP Tập đoàn MGROUP,MGROUP Group Corporation,UPCOM,stock,1
CLW,CTCP Cấp nước Chợ Lớn,Cholon Water Supply Joint Stock Company,HOSE,stock,1
TOP,CTCP Phân phối Top One,Top One Allot Joint Stock Company,UPCOM,stock,1
TTA,CTCP Đầu tư Xây dựng và Phát triển Trường Thành,Truong Thanh Development and Construction Investment Joint Stock Company,HOSE,stock,1
TNW,CTCP Nước sạch Thái Nguyên,Thai Nguyen Water Joint Stock Company,UPCOM,stock,1
DHT,CTCP Dược phẩm Hà Tây,Ha Tay Pharmaceutical Joint Stock Company,HNX,stock,1
TSD,CTCP Du lịch Trường Sơn COECCO,Truongson Tourism Joint Stock Company COECCO,UPCOM,stock,1
WCS,CTCP Bến xe Miền Tây,West Coach Station Joint Stock Company,HNX,stock,1
MES,CTCP Cơ điện Công trình,Mechanical Engineering Service Joint Stock Company,UPCOM,stock,1
KSF,CTCP Tập đoàn Sunshine,Sunshine Group Joint Stock Company,HNX,stock,1
DIG,Tổng Công ty cổ phần Đầu tư Phát triển Xây dựng,Development Investment Construction Joint Stock Corporation,HOSE,stock,1
ICG,CTCP Xây dựng Sông Hồng,Song Hong Construction Joint Stock Company,HNX,stock,1
ILA,CTCP ILA,ILA Joint Stock Company ,UPCOM,stock,1
DDV,CTCP DAP - VINACHEM,DAP - VINACHEM Joint Stock Company,UPCOM,stock,1
TSG,CTCP Thông tin Tín hiệu Đường sắt Sài Gòn,Sai Gon Railway of Telecommunication - Signalization Joint Stock Company,UPCOM,stock,1
IST,CTCP ICD Tân Cảng Sóng Thần,Tan Cang Song Than ICD Joint Stock Company,UPCOM,stock,1
VXP,CTCP Thuốc Thú y Trung ương VETVACO,VETVACO National Veterinary Joint Stock Company,UPCOM,stock,1
VHF,CTCP Xây dựng và Chế biến Lương thực Vĩnh Hà,Vinh Ha Food Processing and Construction Joint Stock Company,UPCOM,stock,1
NBW,CTCP Cấp nước Nhà Bè,Nha Be Water Supply Joint Stock Company,HNX,stock,1
NSC,CTCP Tập đoàn Giống cây trồng Việt Nam,Vietnam National Seed Group Joint Stock Company,HOSE,stock,1
GPC,CTCP Tập đoàn Green+,Green Plus Joint Stock Corporation,UPCOM,stock,1
TMW,CTCP Tổng hợp Gỗ Tân Mai,Tan Mai General Wood Joint Stock Company,UPCOM,stock,1
CKA,CTCP Cơ Khí An Giang,An Giang Mechanical Joint Stock Company,UPCOM,stock,1
TA6,CTCP Đầu tư và Xây lắp Thành An 665,"Thanh An 665 Investment, Installation and Construction Joint Stock Company",UPCOM,stock,1
BXH,CTCP VICEM Bao bì Hải Phòng,Haiphong Packing VICEM Joint Stock Company,HNX,stock,1
VC6,CTCP Xây dựng và Đầu tư Visicons,Visicons Construction and Investment Joint Stock Company,HNX,stock,1
SJD,CTCP Thủy điện Cần Đơn,Candon HydroPower Joint Stock Company,HOSE,stock,1
TGG,CTCP The Golden Group,The Golden Group Joint Stock Company,UPCOM,stock,1
ADC,CTCP Mỹ thuật và Truyền thông,Art Design and Communication Joint Stock Company,HNX,stock,1
CPI,CTCP Đầu tư Cảng Cái Lân,Cailan Port  Investment Joint Stock Company,UPCOM,stock,1
TNT,CTCP Tập đoàn TNT,TNT Group Joint Stock Company,HOSE,stock,1
CCI,CTCP Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,Cu Chi Commercial & Industrial Developing Investment JSC,HOSE,stock,1
VPD,CTCP Phát triển Điện lực Việt Nam,Vietnam Power Development Joint Stock Company,HOSE,stock,1
USD,CTCP Công trình Đô thị Sóc Trăng,Soc Trang Public Works Joint Stock Company,UPCOM,stock,1
NSH,CTCP Tập Đoàn Nhôm Sông Hồng Shalumi,Song Hong Aluminum Shalumi Group Joint Stock Company,HNX,stock,1
ANT,CTCP Rau quả Thực phẩm An Giang,An Giang Fruit-Vegetables & Foodstuff Joint Stock Company,HOSE,stock,1
HBC,CTCP Tập đoàn Xây dựng Hòa Bình,Hoa Binh Construction Group Joint Stock Company,UPCOM,stock,1
VGV,Tổng Công ty Tư vấn Xây dựng Việt Nam - CTCP,Vietnam National Construction Consultant Corporation - JSC,UPCOM,stock,1
BGE,CTCP BCG Energy,BCG Energy Joint Stock Company,UPCOM,stock,1
SHC,CTCP Hàng hải Sài Gòn,Saigon Maritime Joint Stock Company,UPCOM,stock,1
VTM,CTCP Vận tải và Đưa đón thợ mỏ - VINACOMIN,Vinacomin - Transportation and Miner Commuting Service Joint Stock Company,UPCOM,stock,1
UIC,CTCP Đầu tư Phát triển Nhà và Đô thị IDICO,Idico Urban and House Development Investment Joint-Stock Company,HOSE,stock,1
DSH,CTCP Đầu tư Hạ tầng Đông Sơn,Dong Son Infrastructure Investment Joint Stock Company,UPCOM,stock,1
VPS,CTCP Thuốc sát trùng Việt Nam ,Vietnam Pesticide Joint Stock Company,HOSE,stock,1
VSA,CTCP Đại lý Hàng hải Việt Nam,Vietnam Ocean Shipping Agency Corporation,HNX,stock,1
SBB,CTCP Tập đoàn Bia Sài Gòn - Bình Tây,SaiGon Binh Tay Beer Group Joint Stock Company,UPCOM,stock,1
ICI,CTCP Đầu tư và Xây dựng Công nghiệp,Industrial Construction and Investment Joint Stock Company,UPCOM,stock,1
DXP,CTCP Cảng Đoạn Xá,DoanXa Port Joint Stock Company,HNX,stock,1
AMV,CTCP Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,American Vietnamese Biotech Incorporation,HNX,stock,1
TUG,CTCP Lai Dắt và Vận tải Cảng Hải Phòng,Haiphong Port Tugboat and Transport Joint Stock Company,UPCOM,stock,1
NAC,CTCP Tư vấn Xây dựng Tổng hợp,National of General Construction Consultants Joint Stock Company,UPCOM,stock,1
FRC,CTCP Lâm đặc sản Xuất khẩu Quảng Nam,Forest Products Export Joint Stock Company Of Quang Nam,UPCOM,stock,1
AAM,CTCP Thủy sản MeKong,Mekong Fisheries Joint Stock Company,HOSE,stock,1
DGC,CTCP Tập đoàn Hóa chất Đức Giang,DucGiang Chemicals Group Joint Stock Company,HOSE,stock,1
